Title,Tags,PublishedAt,ViewsCount,LikesCount,FavouriteCount,CommentsCount
Merge Sorted Arrays Problem and Next Permutation Problem | DSA Series,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-14 16:26:55+00:00,108941,2428,0,231
"Sorting Algorithms | Bubble Sort, Selection Sort & Insertion Sort | DSA Series by Shradha Ma'am","['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-09 16:16:20+00:00,565103,10164,0,377
Single Element in Sorted Array | Binary Search | DSA Series Lecture 20,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-02 15:30:16+00:00,86888,2393,0,321
Majority Element | Brute- Better-Best Approach | Moore's Voting Algorithm | & Pair Sum,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-09-16 16:05:59+00:00,264733,5107,0,595
Array Data Structure - Part1 | DSA Series by Shradha Khapra Ma'am | C++,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-09-11 15:45:45+00:00,669523,10570,0,1087
Binary Number System | DSA Series by Shradha Khapra Ma'am | C++,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-09-08 15:44:01+00:00,405746,8802,0,1123
Lecture 4: Patterns | DSA Series by Shradha Khapra Ma'am | C++,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-09-05 15:40:03+00:00,717257,11564,0,1777
What is the future of Software Engineering in next 5 years?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-08-23 16:30:12+00:00,639379,26158,0,1304
Tech MasterClass with CTOs | Angle One CTO & Shradha Khapra Ma'am,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-08-18 15:43:30+00:00,59515,1929,0,174
How he cracked 6 month Internship + Job Offer from Tier 3 College ? Cisco Ideathon,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-05-09 17:29:56+00:00,391797,9814,0,320
Tier 3 to Off Campus Google & Microsoft | How did this student crack both Internships?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-04-27 17:04:45+00:00,676609,20303,0,718
Bringing Complete Placement Course  : C++ & Data Structures & Algorithms  | in 4 Months,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-03-21 15:49:26+00:00,221878,9550,0,1027
Launching New Complete Placement Cohort ❤️| Web Development + Complete DSA | New SIGMA Batch,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-01-27 16:38:32+00:00,195536,8402,0,1087
5 Best Websites to find Jobs and Internships in 2024 | Software Engineering,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-01-07 14:56:18+00:00,586949,23165,0,593
How to make Ultimate Resume ? Step by step guide for Software Engineers,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-11-15 16:42:57+00:00,913741,23357,0,445
How to Improve English Speaking for Interviews ? 5 Easy Tips,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-09-20 17:28:37+00:00,2073051,90921,0,1493
Interview Question | C Programming Language,,2023-09-19 15:09:41+00:00,3755461,253464,0,1394
Aptitude Question Round | TCS,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-09-14 16:07:49+00:00,2683020,146827,0,2546
Complete Git and GitHub Tutorial for Beginners,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-08-24 16:49:21+00:00,4643077,94371,0,3391
SQL - Complete Course in 3 Hours | SQL One Shot using MySQL,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-08-18 17:38:13+00:00,12936051,196812,0,6953
How many Coding languages needed for Internship/Placement as Software Engineer in Top Companies?,,2023-07-23 17:46:18+00:00,2541508,225201,0,450
How I would Code if I get back in 1st year of College? Software Development Placement | RoadMap,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-07-08 17:28:10+00:00,904815,49573,0,2027
How to become a UI UX Designer?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-05-11 15:31:17+00:00,2572667,187614,0,527
Shradha Khapra Ma'am at Thapar University,,2023-04-23 17:03:38+00:00,556419,36823,0,140
Should you do BCA in 2024? All about BCA,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-04-16 10:42:39+00:00,2117042,84208,0,5861
One Thing to Increase your Confidence,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-04-14 15:47:11+00:00,247344,28798,0,102
Java or C++ or Python | Which language is best for Placements?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-04-10 17:52:01+00:00,1410174,45241,0,1752
